Fungi_Species,Fungal_Mat_ID,Plot,Treatment,Season,Initial_Area,Final_Area,Total_Weeks,Raw_Growth,Relative_Growth_Rate_Weekly
GJ,GJ-01,1,C,spring,30.961,658.006,6,627.045,14.92964286
GJ,GJ-02,1,C,spring,24.255,185.151,6,160.896,3.830857143
GJ,GJ-03,1,C,spring,57.011,342.705,6,285.694,6.802238095
GJ,GJ-04,2,H,spring,41.094,94.199,6,53.105,1.264404762
GJ,GJ-05,2,H,spring,19.524,29.151,6,9.627,0.229214286
GJ,GJ-06,2,H,spring,50.674,60.354,6,9.68,0.23047619
GJ,GJ-07,4,H,spring,32.675,43.45,6,10.775,0.256547619
GJ,GJ-08,4,H,spring,11.061,40.926,6,29.865,0.711071429
GJ,GJ-09,4,H,spring,16.17,276.054,6,259.884,6.187714286
GJ,GJ-10,6,x,spring,29.537,37.004,6,7.467,0.177785714
GJ,GJ-11,6,x,spring,24.347,97.56,6,73.213,1.743166667
GJ,GJ-12,6,x,spring,23.621,38.203,6,14.582,0.347190476
GJ,GJ-13,5,C,spring,29.124,45.797,6,16.673,0.39697619
GJ,GJ-14,5,C,spring,25.672,35.84,6,10.168,0.242095238
GJ,GJ-15,5,C,spring,34.491,152.219,6,117.728,2.803047619
GJ,GJ-16,3,C,spring,20.308,109.999,6,89.691,2.1355
GJ,GJ-17,3,C,spring,5.589,55.109,6,49.52,1.179047619
GJ,GJ-18,3,C,spring,27.283,155.131,6,127.848,3.044
GJ,P1S1,1,C,summer,31.865,827.484,6.86,795.619,16.57539583
GJ,P1S2,1,C,summer,26.91,2797.4063,6.86,2770.4963,57.71867292
GJ,P1S3,1,C,summer,54.352,439.546,6.86,385.194,8.024875
GJ,P2S1,2,x,summer,10.23066667,680.737,6.86,670.5063333,13.96888194
GJ,P2S2,2,x,summer,18.93866667,120.472,6.86,101.5333333,2.115277778
GJ,P2S3,2,x,summer,32.36633333,422.095,6.86,389.7286667,8.119347222
GJ,P3S1,3,C,summer,47.40566667,62.766,6.86,15.36033333,0.320006944
GJ,P3S2,3,C,summer,60.262,285.116,6.86,224.854,4.684458333
GJ,P3S3,3,C,summer,43.818,733.518,6.86,689.7,14.36875
GJ,P4S1,4,H,summer,37.55633333,688.015,6.86,650.4586667,13.55122222
GJ,P4S2,4,H,summer,27.29933333,340.159,6.86,312.8596667,6.517909722
GJ,P4S3,4,H,summer,21.267,512.924,6.86,491.657,10.24285417
GJ,P5S1,5,C,summer,104.0036667,235.206,6.86,131.2023333,2.733381944
GJ,P5S2,5,C,summer,76.441,646.984,6.86,570.543,11.8863125
GJ,P5S3,5,C,summer,51.15133333,173.953,6.86,122.8016667,2.558368056
GJ,P6S1,6,H,summer,65.959,404.929,6.86,338.97,7.061875
GJ,P6S2,6,H,summer,51.42666667,823.481,6.86,772.0543333,16.08446528
GJ,P6S3,6,H,summer,77.30166667,802.497,6.86,725.1953333,15.10823611
MC,MC-01,1,C,spring,10.513,1149.52,6,1139.007,27.11921429
MC,MC-02,1,C,spring,12.156,263.397,6,251.241,5.981928571
MC,MC-03,1,C,spring,60.381,298.738,6,238.357,5.675166667
MC,MC-04,2,H,spring,18.298,17.818,6,-0.48,-0.011428571
MC,MC-05,2,H,spring,20.216,262.198,6,241.982,5.76147619
MC,MC-06,2,H,spring,38.696,70.381,6,31.685,0.754404762
MC,MC-07,4,H,spring,42.459,409.804,6,367.345,8.746309524
MC,MC-08,4,H,spring,25.25,433.387,6,408.137,9.717547619
MC,MC-09,4,H,spring,50.678,201.167,6,150.489,3.583071429
MC,MC-10,6,x,spring,18.226,84.748,6,66.522,1.583857143
MC,MC-11,6,x,spring,46.948,203.326,6,156.378,3.723285714
MC,MC-12,6,x,spring,29.88,452.813,6,422.933,10.06983333
MC,MC-13,5,C,spring,23.434,77.192,6,53.758,1.279952381
MC,MC-14,5,C,spring,30.556,96.421,6,65.865,1.568214286
MC,MC-15,5,C,spring,33.918,104.124,6,70.206,1.671571429
MC,MC-16,3,C,spring,22.973,202.891,6,179.918,4.283761905
MC,MC-17,3,C,spring,44.019,141.958,6,97.939,2.331880952
MC,MC-18,3,C,spring,37.282,205.13,6,167.848,3.996380952
