Fungi_Species,Fungal_Mat_ID,Plot,Treatment,Season,Time_to_Colonization,Colonization_Status
GJ,GJ-01,1,C,spring,2,1
GJ,GJ-02,1,C,spring,2,1
GJ,GJ-03,1,C,spring,1,1
GJ,GJ-04,2,H,spring,4,1
GJ,GJ-05,2,H,spring,,0
GJ,GJ-06,2,H,spring,4,1
GJ,GJ-07,4,H,spring,6,1
GJ,GJ-08,4,H,spring,4,1
GJ,GJ-09,4,H,spring,,0
GJ,GJ-10,6,N/A,spring,1,1
GJ,GJ-11,6,N/A,spring,1,1
GJ,GJ-12,6,N/A,spring,,0
GJ,GJ-13,5,C,spring,1,1
GJ,GJ-14,5,C,spring,1,1
GJ,GJ-15,5,C,spring,1,1
GJ,GJ-16,3,C,spring,2,1
GJ,GJ-17,3,C,spring,1,1
GJ,GJ-18,3,C,spring,6,1
GJ,P1S1,1,C,summer,2,1
GJ,P1S2,1,C,summer,1,1
GJ,P1S3,1,C,summer,1,1
GJ,P2S1,2,N/A,summer,1,1
GJ,P2S2,2,N/A,summer,,0
GJ,P2S3,2,N/A,summer,2,1
GJ,P3S1,3,C,summer,1,1
GJ,P3S2,3,C,summer,2,1
GJ,P3S3,3,C,summer,2,1
GJ,P4S1,4,H,summer,4,1
GJ,P4S2,4,H,summer,,0
GJ,P4S3,4,H,summer,4,1
GJ,P5S1,5,C,summer,2,1
GJ,P5S2,5,C,summer,2,1
GJ,P5S3,5,C,summer,2,1
GJ,P6S1,6,H,summer,4,1
GJ,P6S2,6,H,summer,,0
GJ,P6S3,6,H,summer,4,1
MC,MC-01,1,C,spring,1,1
MC,MC-02,1,C,spring,1,1
MC,MC-03,1,C,spring,2,1
MC,MC-04,2,H,spring,6,0
MC,MC-05,2,H,spring,4,1
MC,MC-06,2,H,spring,6,0
MC,MC-07,4,H,spring,4,1
MC,MC-08,4,H,spring,4,1
MC,MC-09,4,H,spring,6,0
MC,MC-10,6,N/A,spring,1,1
MC,MC-11,6,N/A,spring,1,1
MC,MC-12,6,N/A,spring,1,1
MC,MC-13,5,C,spring,2,1
MC,MC-14,5,C,spring,2,1
MC,MC-15,5,C,spring,1,1
MC,MC-16,3,C,spring,1,1
MC,MC-17,3,C,spring,1,1
MC,MC-18,3,C,spring,1,1
